지점,지점명,일시,월합강수량(00~24h만)(mm)
90,속초,1968-01,0
90,속초,1968-02,3.3
90,속초,1968-03,8.8
90,속초,1968-04,6.9
90,속초,1968-05,49.1
90,속초,1968-06,48.3
90,속초,1968-07,304.7
90,속초,1968-08,299.8
90,속초,1968-09,113.7
90,속초,1968-10,342.1
90,속초,1968-11,24.5
90,속초,1968-12,60.8
90,속초,1969-01,112.6
90,속초,1969-02,139.1
90,속초,1969-03,77.5
90,속초,1969-04,254.3
90,속초,1969-05,112.3
90,속초,1969-06,59.6
90,속초,1969-07,219
90,속초,1969-08,236.4
90,속초,1969-09,104.2
90,속초,1969-10,3
90,속초,1969-11,48.9
90,속초,1969-12,23.2
90,속초,1970-01,22.8
90,속초,1970-02,83.4
90,속초,1970-03,12.9
90,속초,1970-04,.2
90,속초,1970-05,61.4
90,속초,1970-06,76.9
90,속초,1970-07,503.9
90,속초,1970-08,200.7
90,속초,1970-09,306.4
90,속초,1970-10,44.1
90,속초,1970-11,35.4
90,속초,1970-12,14.2
90,속초,1971-01,57.4
90,속초,1971-02,38.9
90,속초,1971-03,57.6
90,속초,1971-04,40.2
90,속초,1971-05,82.7
90,속초,1971-06,70.2
90,속초,1971-07,125.8
90,속초,1971-08,469.5
90,속초,1971-09,255
90,속초,1971-10,19.7
90,속초,1971-11,8.4
90,속초,1971-12,13.8
90,속초,1972-01,154
90,속초,1972-02,118
90,속초,1972-03,65.7
90,속초,1972-04,29.7
90,속초,1972-05,31.7
90,속초,1972-06,25.9
90,속초,1972-07,51.3
90,속초,1972-08,527.5
90,속초,1972-09,236.3
90,속초,1972-10,36.6
90,속초,1972-11,52.2
90,속초,1972-12,10.4
90,속초,1973-01,94.5
90,속초,1973-02,8.4
90,속초,1973-03,14.7
90,속초,1973-04,50.8
90,속초,1973-05,149.4
90,속초,1973-06,131.2
90,속초,1973-07,106
90,속초,1973-08,210.5
90,속초,1973-09,187.1
90,속초,1973-10,86
90,속초,1973-11,97.5
90,속초,1973-12,.2
90,속초,1974-01,27.2
90,속초,1974-02,35.1
90,속초,1974-03,37.6
90,속초,1974-04,76.2
90,속초,1974-05,126.9
90,속초,1974-06,71.2
90,속초,1974-07,241.2
90,속초,1974-08,230
90,속초,1974-09,172.5
90,속초,1974-10,63.5
90,속초,1974-11,25.1
90,속초,1974-12,37.5
90,속초,1975-01,24.7
90,속초,1975-02,77.9
90,속초,1975-03,97.2
90,속초,1975-04,61.3
90,속초,1975-05,56.8
90,속초,1975-06,186.1
90,속초,1975-07,373.6
90,속초,1975-08,57.1
90,속초,1975-09,237
90,속초,1975-10,115.6
90,속초,1975-11,155.1
90,속초,1975-12,31.7
90,속초,1976-01,.1
90,속초,1976-02,208.3
90,속초,1976-03,43.7
90,속초,1976-04,52.6
90,속초,1976-05,10.3
90,속초,1976-06,76.2
90,속초,1976-07,89.1
90,속초,1976-08,602.7
90,속초,1976-09,68.3
90,속초,1976-10,67.2
90,속초,1976-11,45.1
90,속초,1976-12,102.6
90,속초,1977-01,20.2
90,속초,1977-02,25
90,속초,1977-03,55.7
90,속초,1977-04,238.3
90,속초,1977-05,33.2
90,속초,1977-06,68
90,속초,1977-07,174.7
90,속초,1977-08,100.3
90,속초,1977-09,120.8
90,속초,1977-10,67.1
90,속초,1977-11,159.1
90,속초,1977-12,49.6
90,속초,1978-01,112.9
90,속초,1978-02,81.4
90,속초,1978-03,85.2
90,속초,1978-04,32.2
90,속초,1978-05,22.5
90,속초,1978-06,266.9
90,속초,1978-07,172.1
90,속초,1978-08,232.5
90,속초,1978-09,99.4
90,속초,1978-10,284.3
90,속초,1978-11,54.1
90,속초,1978-12,158.8
90,속초,1979-01,142.3
90,속초,1979-02,58.7
90,속초,1979-03,88.2
90,속초,1979-04,126
90,속초,1979-05,117
90,속초,1979-06,289.1
90,속초,1979-07,181
90,속초,1979-08,206
90,속초,1979-09,43.9
90,속초,1979-10,52.3
90,속초,1979-11,0
90,속초,1979-12,8.6
90,속초,1980-01,43
90,속초,1980-02,6
90,속초,1980-03,89.8
90,속초,1980-04,147.7
90,속초,1980-05,22.9
90,속초,1980-06,79.4
90,속초,1980-07,271.3
90,속초,1980-08,208.3
90,속초,1980-09,114
90,속초,1980-10,16.3
90,속초,1980-11,8.5
90,속초,1980-12,15.3
90,속초,1981-01,16.8
90,속초,1981-02,18.1
90,속초,1981-03,63.6
90,속초,1981-04,81.4
90,속초,1981-05,151.7
90,속초,1981-06,74.7
90,속초,1981-07,333.5
90,속초,1981-08,177.8
90,속초,1981-09,405.7
90,속초,1981-10,10.3
90,속초,1981-11,81.2
90,속초,1981-12,1.5
90,속초,1982-01,45.9
90,속초,1982-02,48.2
90,속초,1982-03,39.8
90,속초,1982-04,45.7
90,속초,1982-05,137.8
90,속초,1982-06,44.2
90,속초,1982-07,163.1
90,속초,1982-08,392.9
90,속초,1982-09,6.9
90,속초,1982-10,23.3
90,속초,1982-11,146.7
90,속초,1982-12,5.5
90,속초,1983-01,19.6
90,속초,1983-02,9.7
90,속초,1983-03,85.4
90,속초,1983-04,62.2
90,속초,1983-05,33.9
90,속초,1983-06,125.7
90,속초,1983-07,300.4
90,속초,1983-08,246.3
90,속초,1983-09,148.6
90,속초,1983-10,111.8
90,속초,1983-11,21.9
90,속초,1983-12,31
90,속초,1984-01,18.3
90,속초,1984-02,31.5
90,속초,1984-03,6.8
90,속초,1984-04,85.1
90,속초,1984-05,68.2
90,속초,1984-06,96.7
90,속초,1984-07,289.9
90,속초,1984-08,371.8
90,속초,1984-09,650.8
90,속초,1984-10,6.7
90,속초,1984-11,73
90,속초,1984-12,42.9
90,속초,1985-01,1.6
90,속초,1985-02,38.7
90,속초,1985-03,42.6
90,속초,1985-04,62.5
90,속초,1985-05,162
90,속초,1985-06,54.3
90,속초,1985-07,60.3
90,속초,1985-08,293.7
90,속초,1985-09,180.7
90,속초,1985-10,216.7
90,속초,1985-11,39.2
90,속초,1985-12,31.8
90,속초,1986-01,58.3
90,속초,1986-02,25.4
90,속초,1986-03,28.6
90,속초,1986-04,60.4
90,속초,1986-05,23.1
90,속초,1986-06,110.5
90,속초,1986-07,180.7
90,속초,1986-08,474.6
90,속초,1986-09,188
90,속초,1986-10,169.2
90,속초,1986-11,10.8
90,속초,1986-12,49
90,속초,1987-01,14.4
90,속초,1987-02,95
90,속초,1987-03,63.5
90,속초,1987-04,48.5
90,속초,1987-05,95.3
90,속초,1987-06,123.9
90,속초,1987-07,207.3
90,속초,1987-08,383.8
90,속초,1987-09,55.9
90,속초,1987-10,63.5
90,속초,1987-11,130.9
90,속초,1987-12,8.9
90,속초,1988-01,4.5
90,속초,1988-02,52.7
90,속초,1988-03,38
90,속초,1988-04,14.7
90,속초,1988-05,50.9
90,속초,1988-06,75.6
90,속초,1988-07,202.1
90,속초,1988-08,84.2
90,속초,1988-09,308.5
90,속초,1988-10,56.2
90,속초,1988-11,39.8
90,속초,1988-12,.7
90,속초,1989-01,165.9
90,속초,1989-02,65.3
90,속초,1989-03,121.7
90,속초,1989-04,6.2
90,속초,1989-05,66.8
90,속초,1989-06,109.9
90,속초,1989-07,221.2
90,속초,1989-08,277.7
90,속초,1989-09,156.4
90,속초,1989-10,163
90,속초,1989-11,123
90,속초,1989-12,103
90,속초,1990-01,81.9
90,속초,1990-02,170.6
90,속초,1990-03,86.8
90,속초,1990-04,120.4
90,속초,1990-05,79.8
90,속초,1990-06,236.6
90,속초,1990-07,262.8
90,속초,1990-08,110.5
90,속초,1990-09,596.4
90,속초,1990-10,90.6
90,속초,1990-11,143.6
